FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2021-09-12,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1941,CVG,"Cincinnati, OH",CLT,"Charlotte, NC",840,849.0,9.0,28.0,917.0,1009.0,14.0,1018,1023.0,5.0,0.0,,0.0,98.0,94.0,52.0,335.0,,,,,
2021-03-22,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2257,CLT,"Charlotte, NC",ORD,"Chicago, IL",2025,2021.0,-4.0,20.0,2041.0,2106.0,8.0,2147,2114.0,-33.0,0.0,,0.0,142.0,113.0,85.0,599.0,,,,,
2020-12-21,Republic Airline,Republic Airline: YX,YX,20452,3441,CLE,"Cleveland, OH",IAD,"Washington, DC",1515,1514.0,-1.0,9.0,1523.0,1613.0,6.0,1637,1619.0,-18.0,0.0,,0.0,82.0,65.0,50.0,288.0,,,,,
2022-07-10,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1275,MYR,"Myrtle Beach, SC",BWI,"Baltimore, MD",1405,1358.0,-7.0,8.0,1406.0,1509.0,15.0,1530,1524.0,-6.0,0.0,,0.0,85.0,86.0,63.0,399.0,,,,,
2019-12-24,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,547,SNA,"Santa Ana, CA",PDX,"Portland, OR",1915,1911.0,-4.0,12.0,1923.0,2118.0,8.0,2148,2126.0,-22.0,0.0,,0.0,153.0,135.0,115.0,859.0,,,,,
2019-02-26,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5819,DFW,"Dallas/Fort Worth, TX",AMA,"Amarillo, TX",1045,1038.0,-7.0,20.0,1058.0,1147.0,4.0,1203,1151.0,-12.0,0.0,,0.0,78.0,73.0,49.0,312.0,,,,,
2019-09-15,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1157,IAH,"Houston, TX",SLC,"Salt Lake City, UT",1155,1149.0,-6.0,12.0,1201.0,1338.0,2.0,1409,1340.0,-29.0,0.0,,0.0,194.0,171.0,157.0,1195.0,,,,,
2023-01-18,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,507,ATL,"Atlanta, GA",GPT,"Gulfport/Biloxi, MS",855,944.0,49.0,16.0,1000.0,1006.0,5.0,916,1011.0,55.0,0.0,,0.0,81.0,87.0,66.0,352.0,49.0,0.0,6.0,0.0,0.0
2022-04-01,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2748,LAS,"Las Vegas, NV",SEA,"Seattle, WA",1540,1537.0,-3.0,16.0,1553.0,1801.0,10.0,1824,1811.0,-13.0,0.0,,0.0,164.0,154.0,128.0,867.0,,,,,
2019-06-01,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3343,LAS,"Las Vegas, NV",RNO,"Reno, NV",920,920.0,0.0,13.0,933.0,1025.0,5.0,1040,1030.0,-10.0,0.0,,0.0,80.0,70.0,52.0,345.0,,,,,
2022-03-12,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3263,PHX,"Phoenix, AZ",FLG,"Flagstaff, AZ",2303,2256.0,-7.0,8.0,2304.0,2324.0,2.0,2,2326.0,-36.0,0.0,,0.0,59.0,30.0,20.0,119.0,,,,,
2019-07-19,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,450,DEN,"Denver, CO",SNA,"Santa Ana, CA",1720,1723.0,3.0,12.0,1735.0,1830.0,4.0,1835,1834.0,-1.0,0.0,,0.0,135.0,131.0,115.0,846.0,,,,,
2019-01-12,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5175,DAB,"Daytona Beach, FL",CLT,"Charlotte, NC",514,506.0,-8.0,11.0,517.0,629.0,6.0,650,635.0,-15.0,0.0,,0.0,96.0,89.0,72.0,416.0,,,,,
